symbol,name,sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Banking
INFY,Infosys,IT
ICICIBANK,ICICI Bank,Banking
HINDUNILVR,Hindustan Unilever,FMCG
SBIN,State Bank of India,Banking
BHARTIARTL,Bharti Airtel,Telecom
ITC,ITC Limited,FMCG
KOTAKBANK,Kotak Mahindra Bank,Banking
LT,Larsen & Toubro,Infrastructure
AXISBANK,Axis Bank,Banking
ASIANPAINT,Asian Paints,Chemicals
MARUTI,Maruti Suzuki,Auto
SUNPHARMA,Sun Pharmaceutical,Pharma
TITAN,Titan Company,Consumer
BAJFINANCE,Bajaj Finance,NBFC
WIPRO,Wipro,IT
ULTRACEMCO,UltraTech Cement,Cement
NESTLEIND,Nestle India,FMCG
POWERGRID,Power Grid Corporation,Power
NTPC,NTPC Limited,Power
TECHM,Tech Mahindra,IT
HCLTECH,HCL Technologies,IT
BAJAJFINSV,Bajaj Finserv,NBFC
M&M,Mahindra & Mahindra,Auto
TATAMOTORS,Tata Motors,Auto
ADANIENT,Adani Enterprises,Conglomerate
ADANIPORTS,Adani Ports,Infrastructure
JSWSTEEL,JSW Steel,Steel
TATASTEEL,Tata Steel,Steel
HINDALCO,Hindalco Industries,Metals
COALINDIA,Coal India,Mining
ONGC,Oil & Natural Gas Corp,Energy
BPCL,Bharat Petroleum,Energy
IOC,Indian Oil Corporation,Energy
GRASIM,Grasim Industries,Cement
CIPLA,Cipla,Pharma
DRREDDY,Dr Reddy's Laboratories,Pharma
DIVISLAB,Divi's Laboratories,Pharma
APOLLOHOSP,Apollo Hospitals,Healthcare
EICHERMOT,Eicher Motors,Auto
BAJAJ-AUTO,Bajaj Auto,Auto
HEROMOTOCO,Hero MotoCorp,Auto
TATACONSUM,Tata Consumer Products,FMCG
BRITANNIA,Britannia Industries,FMCG
PIDILITIND,Pidilite Industries,Chemicals
BERGEPAINT,Berger Paints,Chemicals
HAVELLS,Havells India,Electricals
VOLTAS,Voltas,Electricals
INDUSINDBK,IndusInd Bank,Banking
FEDERALBNK,Federal Bank,Banking
BANDHANBNK,Bandhan Bank,Banking
IDFCFIRSTB,IDFC First Bank,Banking
PNB,Punjab National Bank,Banking
BANKBARODA,Bank of Baroda,Banking
CANBK,Canara Bank,Banking
UNIONBANK,Union Bank of India,Banking
MAHABANK,Bank of Maharashtra,Banking
INDIANB,Indian Bank,Banking
IDEA,Vodafone Idea,Telecom
ZOMATO,Zomato,Consumer Tech
NYKAA,FSN E-Commerce (Nykaa),Consumer Tech
PAYTM,One97 Communications,Fintech
POLICYBZR,PB Fintech,Fintech
DELHIVERY,Delhivery,Logistics
IRCTC,Indian Railway Catering,Travel
INDIGO,InterGlobe Aviation,Aviation
TATAPOWER,Tata Power,Power
ADANIGREEN,Adani Green Energy,Renewable
TORNTPOWER,Torrent Power,Power
